damage_type,penalty_percentage,description
pintura_leve,2.0,"Roce superficial o rasponazo en un solo paño de carrocería"
pintura_con_chapa,4.0,"Abolladura leve/media que requiere reparación de chapa y pintura"
optica_delantera,3.5,"Faro delantero roto, agrietado o descolgado (LED/Xenón)"
optica_trasera,1.5,"Piloto trasero roto o agrietado"
retrovisor_completo,1.5,"Espejo retrovisor roto, colgando o sin carcasa"
luna_parabrisas,3.0,"Fisura o impacto en el cristal parabrisas delantero (afecta ADAS)"
luna_trasera,2.0,"Luneta trasera rota o fracturada"
ventanilla_lateral,1.0,"Cristal de ventanilla lateral roto"
neumatico_unidad,1.0,"Neumático visiblemente deshinchado, pinchado o con desgaste extremo"
llanta_danio_grave,1.5,"Llanta de aleación con golpe estructural o deformada"
capo_deformado,6.0,"Capó delantero con abolladura grave o descuadrado por impacto"
puerta_hundida,5.0,"Hundimiento grave en paño de puerta que requiere sustitución"
techo_hundido,8.0,"Daño severo en el techo (granizo denso o vuelco leve)"
golpe_estructural_frontal,35.0,"Impacto severo frontal: capó doblado, radiadores o Airbags"
golpe_estructural_trasero,30.0,"Impacto severo trasero: afectación de maletero y panel trasero"
golpe_estructural_lateral,25.0,"Impacto lateral grave: pilar central o ambas puertas hundidas"
